0,203,0.0
64,398,0.0
280,300,0.0
429,665,0.0
514,552,0.0
580,722,0.0
871,960,0.0
997,1034,0.0
1038,1099,0.0
1044,1091,0.0
1050,1090,0.0
1068,1080,0.0
1070,1076,0.0
1071,1078,0.0
1079,1093,0.0
1081,1083,0.0
1085,1101,0.0
1085,1102,0.0
1089,1103,0.0
10,373,1.0
23,37,1.0
52,253,1.0
64,630,1.0
74,169,1.0
93,849,1.0
103,143,1.0
143,154,1.0
188,189,1.0
280,429,1.0
328,695,1.0
630,664,1.0
642,677,1.0
830,997,1.0
830,1089,1.0
896,926,1.0
926,997,1.0
1016,1077,1.0
1027,1028,1.0
1038,1094,1.0
1043,1044,1.0
1051,1074,1.0
1058,1082,1.0
1062,1066,1.0
1065,1075,1.0
1067,1075,1.0
1069,1077,1.0
1069,1084,1.0
1081,1096,1.0
1081,1100,1.0
1085,1089,1.0
1085,1097,1.0
1095,1097,1.0
1095,1098,1.0
18,31,1.4142135623730951
23,299,1.4142135623730951
115,116,1.4142135623730951
258,285,1.4142135623730951
447,448,1.4142135623730951
492,532,1.4142135623730951
590,591,1.4142135623730951
623,656,1.4142135623730951
681,682,1.4142135623730951
693,694,1.4142135623730951
791,809,1.4142135623730951
872,873,1.4142135623730951
880,908,1.4142135623730951
1008,1009,1.4142135623730951
10,471,2.0
19,20,2.0
80,81,2.0
92,102,2.0
93,753,2.0
138,149,2.0
154,814,2.0
216,280,2.0
309,334,2.0
314,315,2.0
421,460,2.0
429,604,2.0
432,433,2.0
517,555,2.0
563,564,2.0
567,592,2.0
577,578,2.0
604,798,2.0
710,711,2.0
749,774,2.0
772,793,2.0
792,793,2.0
826,827,2.0
889,890,2.0
931,966,2.0
950,987,2.0
997,1033,2.0
1015,1039,2.0
1020,1070,2.0
1022,1023,2.0
1036,1073,2.0
1037,1042,2.0
1039,1068,2.0
1040,1062,2.0
1049,1050,2.0
1049,1056,2.0
1051,1060,2.0
1054,1056,2.0
1067,1068,2.0
1072,1074,2.0
1087,1092,2.0
3,4,2.23606797749979
88,89,2.23606797749979
95,96,2.23606797749979
135,136,2.23606797749979
142,153,2.23606797749979
152,153,2.23606797749979
183,195,2.23606797749979
185,186,2.23606797749979
202,215,2.23606797749979
222,223,2.23606797749979
233,428,2.23606797749979
236,237,2.23606797749979
238,259,2.23606797749979
282,302,2.23606797749979
292,293,2.23606797749979
306,331,2.23606797749979
309,333,2.23606797749979
310,335,2.23606797749979
389,390,2.23606797749979
411,444,2.23606797749979
433,476,2.23606797749979
440,479,2.23606797749979
462,463,2.23606797749979
484,527,2.23606797749979
495,496,2.23606797749979
586,587,2.23606797749979
607,608,2.23606797749979
669,670,2.23606797749979
702,703,2.23606797749979
702,733,2.23606797749979
724,725,2.23606797749979
734,735,2.23606797749979
784,804,2.23606797749979
788,806,2.23606797749979
802,803,2.23606797749979
811,812,2.23606797749979
828,829,2.23606797749979
861,862,2.23606797749979
900,901,2.23606797749979
920,921,2.23606797749979
956,994,2.23606797749979
993,1030,2.23606797749979
1003,1004,2.23606797749979
1013,1036,2.23606797749979
1014,1065,2.23606797749979
